Longitude,Latitude
'13,240574813','52,453581173'
'13,4305053079','52,5510829243'
'13,1992287644287','52,4365068880875'
'13,1648593254089','52,5488398803196'
'13,2077640060379','52,537351114776'
'13,3664741598498','52,459607642313'
'13,314755','52,473363'
'13,363288','52,481146'
'13,4800560474389','52,4855187228924'
'13,4633458852759','52,4934218571887'
'13,306683','52,5078805'
'13,2601504282416','52,5161478405709'
'13,299396643694','52,4952979658526'
'13,3905134110447','52,5447483688373'
'13,3355016043326','52,5249959545972'
'13,2885526718782','52,5880929133972'
'13,3323362320875','52,5975450801601'
'13,4273933717382','52,5271156463647'
'13,4610899385872','52,5199553504883'
'13,4942620699196','52,5455958200139'
'13,4769761791238','52,5131466112857'
'13,1439183848348','52,4537512566632'
'13,5884471023787','52,5208672435587'
'13,4631797599315','52,4238378901859'
'13,4453848820056','52,4740718987721'
'13,4170250013635','52,5355833506877'
'13,4135351693118','52,5598340819584'
'13,3879121808658','52,4401587349364'
'13,3528118756615','52,4843251564501'
'13,2401710897821','52,4423428716787'
'13,259629','52,430962'
'13,326157','52,427696'
'13,574246','52,413678'
'13,50934272','52,45369117'
'13,5802191173496','52,4588468714187'
'13,4868053644179','52,4658911727311'
'13,4511497884872','52,4890646412465'
'13,41343229','52,55067675'
'13,41329416','52,55375525'
'13,3362051601007','52,4510085070607'
'13,3431152369142','52,4389576397892'
'13,3868324212871','52,4842403167076'
'13,3267155793166','52,5639195878818'
'13,50882','52,51505'
'13,4085659005121','52,4927440515212'
'13,4382226755741','52,5414832231387'
'13,3669141154753','52,4938516883151'
'13,3699104981192','52,5416111409171'
'13,3843708022452','52,5559614063104'
'13,413572565667','52,5127077113696'
'13,3415016338287','52,4695434114471'
'13,355711','52,459251'
'13,3631543938859','52,4134984395888'
'13,4101617301817','52,3877787779863'
'13,48398','52,50302'
'13,3306064855452','52,5274148885999'
'13,4205648128286','52,6071445264468'
'13,281976346854','52,4769410549611'
'13,5266717549591','52,4585928594435'
'13,3279317674284','52,4725628119395'
'13,48851','52,617635'
'13,7210046415745','52,4390817378726'
'13,3092685301689','52,473324575463'
'13,4606556296341','52,5106971566647'
'13,3086648230217','52,4672367895227'
'13,5138909063174','52,4646370786482'
'13,240857','52,525505'
'13,3093156903864','52,4309018915121'
'13,3491057199504','52,4585530612939'
'13,3048687553929','52,4175685677034'
'13,3428182601929','52,45068359375'
'13,400429357','52,521999592'
'13,2565555555556','52,5681388888889'
'13,3742894166','52,5055704086'
'13,1489187460324','52,4525249986595'
'13,355711','52,459251'
'13,3829069137573','52,5168609619141'
'13,3026592616','52,5053471787'
'13,411940574646','52,5430526733398'
'13,3483289012','52,5561112917'
'13,5275184661','52,4109872979'
'13,6047018253','52,5393854731'
'13,4368558397','52,4661676648'
'13,4345572862','52,5114773654'
'13,54735','52,500953'
'13,31733472','52,5014806902'
'13,4186597605807','52,5428997393468'
'13,3250563841','52,494013819'
'13,3214325154','52,457269514'
'13,3755391287496','52,5163720170624'
'13,4512367147914','52,5481660046952'
'13,4252979899','52,4876315049'
'13,6010719319','52,5358189594'
'13,42732495','52,5458669801'
'13,4371079873968','52,5335952903103'
'13,3812694549561','52,5166091918945'
'13,4054260825','52,5467650349'
'13,4506315673','52,5076197422'
'13,4002351085133','52,5806731668297'
'13,2435201','52,512991'
'13,24459','52,51562'
'13,240781','52,5121801'
'13,4706950203','52,5310082107'
'13,3367777777778','52,5045555555556'
'13,4795858138','52,518999597'
'13,391234','52,501269'
'13,6011724568','52,4825517916'
'13,53926','52,43443'
'13,263703','52,487504'
'13,4181981096','52,4986246968'
'13,5609083175659','52,5059394836426'
'13,6493298625','52,3758170027'
'13,2827884563623','52,5898527733733'
'13,464374587928','52,4874667583911'
'13,4662555638586','52,5526148501705'
'13,290356505','52,51879627'
'13,4198320333','52,4956702562474'
'13,3630616908073','52,4998790525937'
'13,4303110155598','52,4999602368727'
'13,322725','52,505252'
'13,5047180674591','52,5732950561712'
'13,62535','52,457726'
'13,2890079265','52,6319858039'
'13,4997915356227','52,5110008046843'
'13,4116505789412','52,5672258921927'
'13,385392','52,470273'
'13,4219992471315','52,4775845145735'
'13,3515952183918','52,5503828539617'
'13,4643174809262','52,4703125033872'
'13,42089017','52,54864128'
'13,3952777777778','52,5397777777778'
'13,438905760934','52,4737141412463'
'13,4690242763962','52,511231535323'
'13,3480949658845','52,526093090526'
'13,2726224566107','52,5890240674968'
'13,3984986623649','52,3865178510777'
'13,3282867070272','52,4790069600456'
'13,4520102624736','52,4521577096716'
'13,4473361604833','52,5114461688103'
'13,3915','52,5141666666667'
'13,398054','52,490534'
'13,35593646','52,555437'
'13,4977403163385','52,4158088417092'
'13,4391568914807','52,4950580656832'
'13,494606453114','52,6356555785213'
'13,3536221927','52,4948779984'
'13,5380301295883','52,5279683889736'
'13,5658355425444','52,5700993692982'
'13,33693','52,480497'
'13,2725972163991','52,5890975626873'
'13,3586066','52,5470043'
'13,4073465278231','52,5702539545699'
'13,4284121007425','52,4799133489629'
'13,2904180558149','52,4757516888295'
'13,3274845332077','52,4864769487566'
'13,3427270609067','52,5024676291825'
'13,4658943730161','52,5571969543997'
'13,2004290600801','52,5354700822998'
'13,3781628439159','52,5289575745279'
'13,4329856332671','52,5235085677499'
'13,48398','52,50302'
'13,2011111111111','52,5383333333333'
'13,1970124316781','52,5244093736923'
'13,3856663883506','52,4443831917401'
'13,3857676503867','52,4443804645445'
'13,377623','52,463965'
'13,3223900106436','52,4971413116517'
'13,33763709','52,55885577'
'13,5073432416057','52,4034634124112'
'13,3779881541858','52,5506834747608'
'13,3998980761','52,5194673259'
'13,3043888888889','52,5255277777778'
'13,3361111111111','52,5049444444444'
'13,3308611111111','52,5033333333333'
'13,2440277777778','52,5142222222222'
'13,2306388888889','52,5136111111111'
'13,272577','52,509679'
'13,6245833333333','52,4506666666667'
'13,3778611111111','52,4875'
'13,412954','52,521463'
'13,4064166666667','52,5184722222222'
'13,4473888888889','52,4373611111111'
'13,438239','52,482874'
'13,3638055555556','52,5641666666667'
'13,2382777777778','52,5444722222222'
'13,2698888888889','52,5378472222222'
'13,1631666666667','52,52125'
'13,2054861111111','52,5376388888889'
'13,2050277777778','52,5368611111111'
'13,3120833333333','52,4426666666667'
'13,3452222222222','52,5155555555556'
'13,3484166666667','52,5142361111111'
'13,310916','52,493104'
'13,326417','52,48288'
'13,1762222222222','52,4214722222222'
'13,3909027777778','52,4885277777778'
'13,39275','52,5146666666667'
'13,4413888888889','52,4715555555556'
'13,3076111111111','52,6161388888889'
'13,283026','52,590697'
'13,386907','52,438695'
'13,3470138888889','52,5335277777778'
'13,3367777777778','52,5332222222222'
'13,35325','52,5399027777778'
'13,2276388888889','52,5065'
'13,3067361111111','52,5101666666667'
'13,2465277777778','52,5616666666667'
'13,2855277777778','52,5707777777778'
'13,2432222222222','52,576'
'13,2538055555556','52,5853888888889'
'13,1815555555556','52,4698333333333'
'13,119','52,4711944444445'
'13,1154583333333','52,46125'
'13,2100833333333','52,5852222222222'
'13,2191666666667','52,5753888888889'
'13,3367222222222','52,5126111111111'
'13,3566388888889','52,5163333333333'
'13,3299722222222','52,5467222222222'
'13,23525','52,4689722222222'
'13,2661111111111','52,4718055555556'
'13,1981666666667','52,4695'
'13,2833333333333','52,4956111111111'
'13,2346944444444','52,4895277777778'
'13,1898888888889','52,4545833333333'
'13,1650555555556','52,4348055555555'
'13,1294166666667','52,4293888888889'
'13,1432222222222','52,4324166666667'
'13,2288333333333','52,44775'
'13,2154722222222','52,4407777777778'
'13,4128888888889','52,5324444444444'
'13,2215555555556','52,5943611111111'
'13,18521','52,50165'
'13,5260174309','52,4813251482'
'13,438141','52,478802'
'13,549245','52,544367'
'13,29402034','52,53625419'
'13,38045','52,51376'
'13,40874','52,4793'
'13,40631','52,51849'
'13,17935','52,43684'
'13,36125','52,54789'
'13,43486','52,52773'
'13,41514','52,50263'
'13,44417','52,49827'
'13,42465','52,5031'
'13,34312','52,52585'
'13,35924','52,54892'
'13,37306','52,49629'
'13,3769','52,49502'
'13,41755','52,47681'
'13,41766','52,47019'
'13,38677','52,4713'
'13,40995','52,4794'
'13,40423','52,4817'
